pin,address,billing_city,current_delq,prior_years,state_description,neighborhood,council_district,ward,tact,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
0045N00139000000,2361 MCCOOK ST,"WEST VIEW, PA",602.3,16,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03017625,40.46416923
0045N00144000000,2318 ATMORE ST,"PITTSBURGH, PA",388.83,13,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03019893,40.46289698
0045N00144000A00,2316 ATMORE ST,"PITTSBURGH, PA",425.05,10,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03019379,40.46286125
0045N00145000100,0 MANNHEIM ST,"PITTSBURGH, PA",7.62,18,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03013617,40.46296007
0045N00151000000,2334 ATMORE ST,"PITTSBURGH, PA",417.42,0,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03030943,40.46321294
0045N00154000000,2342 ATMORE ST,"LA JOLLA, CA",5.73,18,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03044863,40.4633911
0045N00164000000,2354 ATMORE ST,"PITTSBURGH, PA",686.16,15,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03048524,40.46375992
0045N00165000000,2356 ATMORE ST,"INDIANAPOLIS, IN",486.04,4,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.0305047,40.46382593
0045N00177000000,0 HALSEY PL,"FINLEYVILLE, PA",306.88,20,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03043536,40.46444111
0045N00178000000,0 HALSEY PL,"COLUMBIA, SC",306.88,17,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03034419,40.46446097
0045N00179000000,1404 HALSEY PL,"PITTSBURGH, PA",43.85,1,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03025583,40.46441862
0045N00180000000,1402 HALSEY PL,",",52.87,20,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03019625,40.46442261
